  12,838 positions       0s  33,942/s
  26,905 positions       0s  58,808/s
  240,039,710 positions     668s  359,554/s
  242,020,830 positions     673s  359,542/s
  244,009,863 positions     679s  359,606/s
  246,023,724 positions     684s  359,680/s
  248,029,725 positions     689s  359,758/s
  250,001,689 positions     695s  359,743/s
  250,032,609 positions     695s  359,767/s
  252,003,590 positions     700s  359,811/s
  252,036,143 positions     700s  359,797/s
  254,018,765 positions     706s  359,827/s
  256,014,681 positions     711s  359,865/s
  258,018,311 positions     717s  359,853/s
  260,016,972 positions     722s  359,889/s
  262,004,820 positions     728s  359,908/s
  262,034,477 positions     728s  359,896/s
  264,025,530 positions     734s  359,923/s
  266,011,212 positions     739s  359,975/s
  268,030,093 positions     744s  360,022/s
  270,010,081 positions     750s  360,095/s
  272,002,063 positions     755s  360,087/s
  272,034,326 positions     755s  360,100/s
  274,028,904 positions     761s  360,117/s
  276,027,236 positions     766s  360,223/s
  278,002,956 positions     771s  360,373/s
  278,034,253 positions     772s  360,333/s
  280,002,482 positions     776s  360,609/s
  280,032,974 positions     777s  360,555/s
  282,022,435 positions     782s  360,756/s
  284,028,226 positions     787s  360,806/s
  286,015,173 positions     793s  360,811/s
  288,008,986 positions     798s  360,824/s
  290,014,051 positions     804s  360,852/s
  292,029,937 positions     809s  360,896/s
  294,019,038 positions     815s  360,968/s
  296,016,133 positions     820s  361,093/s
  298,011,163 positions     825s  361,129/s
  300,029,275 positions     831s  361,123/s
  302,026,038 positions     836s  361,091/s
  304,030,038 positions     842s  361,053/s
  306,025,174 positions     847s  361,168/s
  308,007,144 positions     853s  361,108/s
  308,038,997 positions     853s  361,100/s
  310,015,116 positions     859s  361,108/s
  312,027,733 positions     864s  361,095/s
  314,031,221 positions     870s  361,144/s
  316,030,530 positions     875s  361,146/s
  318,013,196 positions     881s  361,116/s
  320,031,338 positions     886s  361,211/s
  322,022,561 positions     892s  361,175/s
  324,003,219 positions     897s  361,275/s
  324,035,920 positions     897s  361,289/s
  326,031,251 positions     902s  361,275/s
  328,030,145 positions     908s  361,310/s
