  12,838 positions       0s  33,024/s
  26,905 positions       0s  58,139/s
  240,039,710 positions     412s  582,224/s
  242,020,830 positions     416s  582,116/s
  244,009,863 positions     419s  582,083/s
  246,023,724 positions     422s  582,375/s
  248,029,725 positions     426s  582,319/s
  250,001,689 positions     429s  582,336/s
  250,032,609 positions     429s  582,407/s
  252,003,590 positions     432s  582,717/s
  252,036,143 positions     433s  582,370/s
  254,018,765 positions     436s  582,371/s
  256,014,681 positions     439s  582,552/s
  258,018,311 positions     443s  582,795/s
  260,016,972 positions     446s  582,983/s
  262,004,820 positions     449s  583,080/s
  262,034,477 positions     449s  583,145/s
  264,025,530 positions     453s  583,264/s
  266,011,212 positions     456s  583,365/s
  268,030,093 positions     459s  583,805/s
  270,010,081 positions     462s  583,906/s
  272,002,063 positions     466s  584,210/s
  272,034,326 positions     466s  584,278/s
  274,028,904 positions     469s  584,551/s
  276,027,236 positions     472s  584,998/s
  278,002,956 positions     475s  585,168/s
  278,034,253 positions     475s  585,232/s
  280,002,482 positions     478s  585,521/s
  280,032,974 positions     478s  585,583/s
  282,022,435 positions     482s  585,690/s
  284,028,226 positions     485s  585,536/s
  286,015,173 positions     488s  585,605/s
  288,008,986 positions     492s  585,864/s
  290,014,051 positions     495s  585,986/s
  292,029,937 positions     498s  586,093/s
  294,019,038 positions     502s  586,246/s
  296,016,133 positions     505s  586,215/s
  298,011,163 positions     508s  586,452/s
  300,029,275 positions     512s  586,443/s
  302,026,038 positions     515s  586,518/s
  304,030,038 positions     518s  586,480/s
  306,025,174 positions     522s  586,523/s
  308,007,144 positions     525s  586,403/s
  308,038,997 positions     525s  586,299/s
  310,015,116 positions     529s  586,406/s
  312,027,733 positions     532s  586,328/s
  314,031,221 positions     535s  586,554/s
  316,030,530 positions     539s  586,808/s
  318,013,196 positions     542s  586,977/s
  320,031,338 positions     545s  587,206/s
  322,022,561 positions     548s  587,629/s
  324,003,219 positions     551s  587,763/s
  324,035,920 positions     551s  587,821/s
  326,031,251 positions     554s  587,992/s
  328,030,145 positions     557s  588,437/s
  330,030,326 positions     561s  588,382/s
  332,019,355 positions     564s  588,609/s
  334,014,260 positions     567s  588,903/s
  336,018,187 positions     571s  588,815/s
  338,015,925 positions     574s  588,962/s
  340,021,009 positions     577s  589,238/s
  342,030,814 positions     580s  589,430/s
  344,027,978 positions     584s  589,500/s
  346,001,684 positions     587s  589,594/s
  346,035,487 positions     587s  589,651/s
  348,027,803 positions     590s  589,796/s
  350,027,382 positions     593s  590,076/s
  352,000,884 positions     596s  590,246/s
  352,033,378 positions     596s  590,299/s
  354,026,148 positions     599s  590,538/s
  356,031,329 positions     603s  590,793/s
  358,001,892 positions     606s  590,920/s
  358,037,458 positions     606s  590,977/s
  360,020,479 positions     609s  591,181/s
  362,018,066 positions     612s  591,449/s
  364,027,956 positions     615s  591,559/s
  366,013,699 positions     618s  591,796/s
  368,013,771 positions     622s  592,060/s
  370,020,869 positions     625s  592,292/s
  372,029,975 positions     628s  592,623/s
  374,033,559 positions     631s  593,024/s
  376,005,132 positions     634s  593,365/s
  378,032,851 positions     637s  593,503/s
  380,010,029 positions     640s  593,671/s
  382,006,277 positions     643s  593,973/s
  384,010,277 positions     646s  594,235/s
  386,016,013 positions     649s  594,513/s
  388,017,773 positions     653s  594,625/s
  390,017,596 positions     655s  595,107/s
  392,012,878 positions     659s  595,031/s
  394,002,883 positions     662s  595,469/s
  394,038,905 positions     662s  595,522/s
  396,029,670 positions     665s  595,698/s
  398,035,315 positions     668s  596,156/s
  400,015,997 positions     671s  596,226/s
  402,026,982 positions     674s  596,517/s
  404,024,206 positions     677s  596,864/s
  406,013,599 positions     680s  597,136/s
  408,011,774 positions     683s  597,342/s

done in 685s
  kept          : 409,562,339 positions (13.11 GB)
  bad json      : 0
  illegal fen   : 147,774
  no usable eval: 0
  mate scores   : 50,439,533 (12.32%)
  throughput    : 597,890 pos/s
